,activity_type,duration,day
0,entertainment,1.4894634514975211,30
1,exercise,2.691306007160179,30
2,other,28.29079868521587,30
3,rest,37.20149297706602,30
4,social,28.94169259158488,30
5,work,1.3852462874755354,30
6,entertainment,1.5794175868865654,1
7,exercise,8.18696731574008,1
8,other,14.246894347832587,1
9,rest,36.25927325821769,1
10,social,39.24900726959359,1
11,work,0.4784402217294839,1
12,entertainment,1.5289468577232017,2
13,exercise,2.4892329325803537,2
14,other,48.81666345376364,2
15,rest,36.59972877903675,2
16,social,8.754640516264105,2
17,work,1.810787460631948,2
18,entertainment,4.221928329416194,3
19,exercise,5.189226681001233,3
20,other,31.94171461699587,3
21,rest,35.05292629766077,3
22,social,22.92052236410345,3
23,work,0.6736817108224851,3
24,entertainment,0.1910227098762699,4
25,exercise,4.217548621210763,4
26,other,56.24870846648267,4
27,rest,35.25173842282678,4
28,social,3.94335279951413,4
29,work,0.14762898008938696,4
30,entertainment,7.89445883603906,5
31,exercise,1.1195758192195557,5
32,other,39.725450734008156,5
33,rest,36.15927216859809,5
34,social,14.807250246639251,5
35,work,0.2939921954958834,5
36,entertainment,5.039846864764394,6
37,exercise,27.20534491804056,6
38,other,51.19099819321011,6
39,rest,0.5743314032986694,6
40,social,10.50932177712848,6
41,work,5.48015684355779,6
