,activity_type,duration,day
0,entertainment,11.471713499993475,8
1,exercise,1.4474664569775721,8
2,other,36.25280521080247,8
3,rest,36.74216178982071,8
4,social,14.02798418568497,8
5,work,0.05786885672079712,8
6,entertainment,18.660571870680283,9
7,exercise,0.5340702338590964,9
8,other,37.86278036983285,9
9,rest,35.279503793709885,9
10,social,7.621514066200668,9
11,work,0.04155966571721883,9
12,entertainment,6.951574125518116,10
13,exercise,0.00968070030056562,10
14,other,60.48740192903335,10
15,rest,30.364682848764584,10
16,social,2.029086627516878,10
17,work,0.15757376886650812,10
18,entertainment,39.865786957970414,11
19,exercise,7.146100629375102,11
20,other,13.965121969319188,11
21,rest,26.56960505698227,11
22,social,12.108206362114668,11
23,work,0.3451790242383587,11
24,entertainment,2.9515440967156703,12
25,exercise,1.6376024674514327,12
26,other,52.14828634663217,12
27,rest,31.632705725280996,12
28,social,10.552403743019566,12
29,work,1.077457620900164,12
30,entertainment,2.9324755742270314,13
31,exercise,1.0503121720291306,13
32,other,40.18747957016601,13
33,rest,37.34003399487346,13
34,social,17.928758281749015,13
35,work,0.5609404069553501,13
36,entertainment,5.820596124797368,14
37,exercise,1.1915730456802731,14
38,other,19.163826680894104,14
39,rest,61.899616399958134,14
40,social,11.924387748670124,14
