,activity_type,duration,day
0,entertainment,3.5696436729182754,30
1,exercise,0.17866422352062408,30
2,other,39.44976605277199,30
3,rest,36.271140760204354,30
4,social,19.69915332243913,30
5,work,0.8316319681456267,30
6,entertainment,10.762972028806917,1
7,exercise,0.05497143047620805,1
8,other,19.560129229849725,1
9,rest,37.158342248957936,1
10,social,32.463585061909214,1
11,entertainment,0.14906370972974142,2
12,exercise,6.230836934738572,2
13,other,40.89191661740641,2
14,rest,36.72717305307852,2
15,social,15.917083276263524,2
16,work,0.08392640878322365,2
17,entertainment,2.0206559636279153,3
18,exercise,3.6142458512910194,3
19,other,45.416490705755756,3
20,rest,35.853021316730505,3
21,social,8.714809245552107,3
22,work,4.380776917042697,3
23,entertainment,3.7000457242614497,4
24,exercise,3.21846459201942,4
25,other,39.33547146640362,4
26,rest,38.387814220725225,4
27,social,14.011958900316973,4
28,work,1.346245096273318,4
29,entertainment,0.001431351797220858,5
30,exercise,0.3770530592329782,5
31,other,50.308937776876775,5
32,rest,35.496917034513395,5
33,social,13.278362613534483,5
34,work,0.5372981640451536,5
35,entertainment,6.391050117724567,6
36,exercise,0.11081709082649623,6
37,other,44.268891752637344,6
38,rest,35.759484217434654,6
39,social,13.466131566963563,6
40,work,0.003625254413367508,6
