,activity_type,duration,day
0,entertainment,17.21711092002942,8
1,exercise,3.938793481339764,8
2,other,32.05933509041504,8
3,rest,38.09920632242926,8
4,social,8.479147067247931,8
5,work,0.20640711853859242,8
6,entertainment,30.523458304249925,9
7,exercise,1.5639826295731911,9
8,other,20.738010383371595,9
9,rest,38.3361526594214,9
10,social,8.816900525881582,9
11,work,0.02149549750230583,9
12,entertainment,22.00929181453695,10
13,exercise,0.7755740583919678,10
14,other,34.19788747354354,10
15,rest,39.13009968600971,10
16,social,3.4729940407284365,10
17,work,0.4141529267894024,10
18,entertainment,6.838654609666827,11
19,exercise,13.115803810913754,11
20,other,35.32232195597847,11
21,rest,37.580059823741685,11
22,social,7.005289480968748,11
23,work,0.13787031873052458,11
24,entertainment,12.811093639894738,12
25,exercise,0.5919339919005925,12
26,other,36.71873081430721,12
27,rest,37.55037305811133,12
28,social,7.4694785102302665,12
29,work,4.858389985555868,12
30,entertainment,14.13479646772975,13
31,exercise,0.5377144833198768,13
32,other,30.56709634312028,13
33,rest,37.00704092487423,13
34,social,8.675853808525668,13
35,work,9.077497972430194,13
36,entertainment,1.9150478296136215,14
37,exercise,0.5415699874730112,14
38,other,19.961594959670688,14
39,rest,66.42288613655039,14
40,social,11.150448929653264,14
41,work,0.008452157039033284,14
