,activity_type,duration,day
0,entertainment,28.550777984391306,30
1,exercise,3.15332403671008,30
2,other,21.711472562469055,30
3,rest,35.856478575779484,30
4,social,3.8332241021259095,30
5,work,6.894722738524164,30
6,entertainment,12.733037527940324,1
7,exercise,3.995760437139903,1
8,other,34.27171691573492,1
9,rest,39.80168925278874,1
10,social,8.608617098864643,1
11,work,0.5891787675314625,1
12,entertainment,6.425509023150945,2
13,exercise,5.433848597163806,2
14,other,19.42205927020622,2
15,rest,37.924989584006866,2
16,social,30.115222283335118,2
17,work,0.6783712421370436,2
18,entertainment,9.985211905318279,3
19,exercise,3.506254568961573,3
20,other,34.95978397252977,3
21,rest,36.55401996047621,3
22,social,9.087441447766547,3
23,work,5.907288144947623,3
24,entertainment,2.6060807880950287,4
25,exercise,2.7693096676669726,4
26,other,46.8484578872382,4
27,rest,38.07563998985886,4
28,social,9.625355141932912,4
29,work,0.07515652520803702,4
30,entertainment,7.341221364948894,5
31,exercise,2.3644990631283496,5
32,other,33.14751894899365,5
33,rest,40.29206658969028,5
34,social,14.429417366408789,5
35,work,2.4252766668300416,5
36,entertainment,0.7457705163462044,6
37,exercise,6.542699613656251,6
38,other,14.75353210888835,6
39,rest,70.73382906928802,6
40,social,6.545114180516238,6
41,work,0.6790545113049368,6
