,activity_type,duration,day
0,entertainment,1.6710488042136613,16
1,exercise,6.116744738687874,16
2,other,40.606693323380014,16
3,rest,33.48224939552631,16
4,social,17.586478448750384,16
5,work,0.5367852894417543,16
6,entertainment,2.687302225451775,17
7,exercise,2.5873371245235055,17
8,other,30.765993708932637,17
9,rest,34.964714371111285,17
10,social,28.990567517607968,17
11,work,0.004085052372831772,17
12,entertainment,13.794397158824479,18
13,exercise,7.345881664537051,18
14,other,31.988910909199568,18
15,rest,31.391047051385467,18
16,social,15.478441940108059,18
17,work,0.0013212759453744738,18
18,entertainment,4.784399717520911,19
19,exercise,5.893007598580268,19
20,other,41.57521679584442,19
21,rest,39.35792629627569,19
22,social,8.38418949886867,19
23,work,0.005260092910038923,19
24,entertainment,2.5047459830702907,20
25,exercise,5.159764176153557,20
26,other,45.49994751570574,20
27,rest,37.073031146993976,20
28,social,8.7533135048117,20
29,work,1.0091976732647299,20
30,entertainment,6.2584799682223,21
31,exercise,0.009485462267461907,21
32,other,50.56807639170773,21
33,rest,37.896787283275295,21
34,social,5.2671708945272195,21
35,entertainment,9.271573943959806,22
36,exercise,1.9853207284844614,22
37,other,34.08883819757615,22
38,rest,44.56223326336365,22
39,social,9.729593270927499,22
40,work,0.3624405956884304,22
