,activity_type,duration,day
0,exercise,7.645635352993889,30
1,other,34.52930519562654,30
2,rest,36.99208257744171,30
3,social,18.645725741327386,30
4,work,2.187251132610478,30
5,entertainment,0.7594366093897932,1
6,exercise,0.8041786975329833,1
7,other,33.60575919787275,1
8,rest,37.43835764975705,1
9,social,25.87135129634573,1
10,work,1.5209165491016858,1
11,exercise,0.6483662558630867,2
12,other,41.32467714403575,2
13,rest,37.47630950801264,2
14,social,20.140263724225623,2
15,work,0.4103833678628926,2
16,exercise,7.210558876348204,3
17,other,27.22576116660437,3
18,rest,35.096612246696694,3
19,social,30.437958881883947,3
20,work,0.02910882846678367,3
21,entertainment,0.0022212316539829374,4
22,exercise,0.7533300015538422,4
23,other,4.249476215626644,4
24,rest,34.51261934938758,4
25,social,60.44493493300631,4
26,work,0.03741826877164094,4
27,entertainment,3.01559654647131,5
28,exercise,14.731628866099985,5
29,other,35.95625046197484,5
30,rest,25.431809037321827,5
31,social,20.864715088132037,5
32,entertainment,0.2417709275765605,6
33,exercise,2.6840911390231117,6
34,other,11.514743907446876,6
35,rest,41.669581715789384,6
36,social,40.936178140854445,6
37,work,2.953634169309618,6
