,activity_type,duration,day
0,entertainment,0.7774454068740109,16
1,exercise,0.007712290349115771,16
2,other,34.90866955226949,16
3,rest,59.436369532397514,16
4,social,2.695165289127663,16
5,work,2.1746379289822007,16
6,exercise,0.07268211235764054,17
7,other,35.32857105318877,17
8,rest,34.55047343748932,17
9,social,29.71588628089941,17
10,work,0.3323871160648492,17
11,exercise,2.769617821718878,18
12,other,10.573317837348258,18
13,rest,33.47258213405564,18
14,social,11.759922507091149,18
15,work,41.42455969978607,18
16,entertainment,2.370910212010151,19
17,exercise,1.0129372126219016,19
18,other,53.654076774044555,19
19,rest,29.9305569335303,19
20,social,10.592906850971435,19
21,work,2.438612016821659,19
22,entertainment,0.27632041640965915,20
23,exercise,0.8996010274446906,20
24,other,46.60926636645482,20
25,rest,34.56392060713009,20
26,social,14.664099293530436,20
27,work,2.9867922890302987,20
28,entertainment,0.5389724341471067,21
29,exercise,4.471268033129559,21
30,other,43.50886290586049,21
31,rest,32.13131930576898,21
32,social,7.966614555261385,21
33,work,11.382962765832477,21
34,entertainment,2.788969306651703,22
35,exercise,4.413357629824086,22
36,other,20.787850533694805,22
37,rest,37.84026745767423,22
38,social,5.813608855322094,22
39,work,28.355946216833082,22
