,activity_type,duration,day
0,entertainment,32.08124548447666,16
1,exercise,0.7941894631760056,16
2,other,15.382683460316537,16
3,rest,39.38556219377421,16
4,social,6.3243105231533105,16
5,work,6.032008875103272,16
6,entertainment,4.69011173337139,17
7,exercise,0.20060520573635018,17
8,other,38.69459294290662,17
9,rest,37.87234895404057,17
10,social,9.396659987005005,17
11,work,9.145681176940066,17
12,entertainment,0.45241941490812737,18
13,exercise,6.068529648150794,18
14,other,50.07648970634888,18
15,rest,37.220793000434554,18
16,social,5.957738351058682,18
17,work,0.22402987909895974,18
18,entertainment,10.240177493776251,19
19,exercise,2.228648280652785,19
20,other,45.545815589128104,19
21,rest,37.5264040431534,19
22,social,4.456827153511953,19
23,work,0.0021274397775072123,19
24,entertainment,31.608149465207575,20
25,exercise,2.1192838483518535,20
26,other,19.906515048368167,20
27,rest,36.78373465469028,20
28,social,4.201665772588696,20
29,work,5.380651210793428,20
30,entertainment,31.9986680293113,21
31,exercise,1.9320821531036296,21
32,other,19.305875532253786,21
33,rest,37.8548459695211,21
34,social,8.129432999787493,21
35,work,0.7790953160226926,21
36,entertainment,5.035286978576227,22
37,exercise,0.003369166767726211,22
38,other,48.970072616789864,22
39,rest,35.63914925408781,22
40,social,6.539806601016222,22
41,work,3.8123153827621556,22
