,activity_type,duration,day
0,entertainment,2.5662064969709673,16
1,exercise,2.61823634359297,16
2,other,49.990567323123955,16
3,rest,34.530819240425515,16
4,social,10.060362269204258,16
5,work,0.2338083266823382,16
6,entertainment,4.8179931483872025,17
7,exercise,1.06554216530015,17
8,other,36.45570383542287,17
9,rest,39.18833058039291,17
10,social,14.514337155158842,17
11,work,3.958093115338028,17
12,entertainment,1.2608670592471654,18
13,exercise,23.583071064526973,18
14,other,14.467372428933475,18
15,rest,38.47673135932187,18
16,social,8.27280026615885,18
17,work,13.939157821811671,18
18,entertainment,2.258873915986352,19
19,exercise,3.090237638758114,19
20,other,46.30995637479423,19
21,rest,37.83973547379361,19
22,social,8.139084820875103,19
23,work,2.362111775792598,19
24,entertainment,32.39712847686634,20
25,exercise,2.071357792439742,20
26,other,16.689143123275095,20
27,rest,36.86013426375335,20
28,social,11.977162049535545,20
29,work,0.005074294129918373,20
30,entertainment,2.2230319002891994,21
31,exercise,0.0070974825721460185,21
32,other,25.742701974945692,21
33,rest,34.795240643379316,21
34,social,10.708763487538889,21
35,work,26.523164511274754,21
36,entertainment,4.405719338729837,22
37,exercise,0.8571458102125503,22
38,other,39.075990092524506,22
39,rest,38.32158111031041,22
40,social,14.06004026647181,22
41,work,3.279523381750889,22
